NoCommande;PrioriteCommande;IdClient;Produit;PrixUnitaire;MargeProduitBrut;Discount;FraisExpedition;ModeExpedition;SegmentClient;DateCommande;DateExpedition;Marge;QuantiteVentes;MontantVentes
89177;Non précisé;2196;P00041;30,98;0,4;0,07;5,09;Voie aérienne;TPE;05/03/2011 00:00;06/03/2011 00:00;81,2475;4;117,75
90240;Urgent;232;P00113;4,98;0,38;0,01;4,86;Voie aérienne;TPE;04/08/2011 00:00;06/08/2011 00:00;-4,238;1;7,66
90328;Critique;2569;P00113;4,98;0,38;0,05;4,86;Voie aérienne Express;Particulier;22/02/2011 00:00;23/02/2011 00:00;3,25;1;19,96
37606;Critique;2571;P00113;4,98;0,38;0,05;4,86;Voie aérienne Express;Particulier;22/02/2011 00:00;23/02/2011 00:00;3,25;1;19,96
86656;Critique;2380;P00043;6,48;0,37;0,06;9,54;Voie aérienne;TPE;24/08/2011 00:00;24/08/2011 00:00;-102,6428;16;106,69
10819;Critique;2382;P00043;6,48;0,37;0,06;9,54;Voie aérienne;TPE;24/08/2011 00:00;24/08/2011 00:00;-197,39;63;420,1
88636;Urgent;1020;P00043;6,48;0,37;0,01;9,54;Voie aérienne;TPE;05/11/2011 00:00;07/11/2011 00:00;29,454;24;171,38
88976;Critique;2770;P00044;35,44;0,38;0,03;7,5;Voie aérienne Express;Home Office;12/08/2011 00:00;13/08/2011 00:00;5351,2413;7;254,42
87957;Non précisé;637;P00045;55,98;0,36;0,09;4,86;Voie aérienne;Particulier;30/12/2011 00:00;10/01/2012 00:00;355,0119;10;514,51
19556;Non précisé;640;P00045;55,98;0,36;0,09;4,86;Voie aérienne;Particulier;30/12/2011 00:00;10/01/2012 00:00;469,69;41;2109,51
89592;Moyen;1216;P00048;48,91;0,38;0,01;5,97;Voie aérienne;TPE;15/01/2011 00:00;16/01/2011 00:00;203,5431;6;294,99
91181;Moyen;2988;P00114;40,99;0,36;0,04;5,86;Voie aérienne;Home Office;25/06/2011 00:00;27/06/2011 00:00;514,6572;18;745,88
89048;Non précisé;2977;P00114;40,99;0,36;0,02;5,86;Voie aérienne;TPE;09/10/2011 00:00;11/10/2011 00:00;397,6332;14;576,28
89056;Peu urgent;2423;P00049;5,98;0,4;0;7,5;Voie aérienne;Home Office;25/06/2011 00:00;02/07/2011 00:00;-74,984;10;67,47
90116;Peu urgent;1279;P00049;5,98;0,4;0,04;7,5;Voie aérienne Express;Entreprise;24/07/2011 00:00;26/07/2011 00:00;-193,48;14;85,55
15463;Peu urgent;1280;P00049;5,98;0,4;0,04;7,5;Voie aérienne Express;Entreprise;24/07/2011 00:00;26/07/2011 00:00;-193,48;58;354,4
87703;Peu urgent;418;P00049;5,98;0,4;0,03;7,5;Voie aérienne;TPE;10/10/2011 00:00;15/10/2011 00:00;-36,666;4;28,58
90882;Non précisé;1242;P00049;5,98;0,4;0,03;7,5;Voie aérienne;Entreprise;02/02/2011 00:00;03/02/2011 00:00;-16,5669;5;33,3
48263;Moyen;102;P00049;5,98;0,4;0,1;7,5;Voie aérienne;Particulier;09/03/2011 00:00;10/03/2011 00:00;-124,72;28;164,22
88207;Moyen;106;P00049;5,98;0,4;0,1;7,5;Voie aérienne;Particulier;09/03/2011 00:00;10/03/2011 00:00;-124,72;7;41,06
53025;Critique;1821;P00049;5,98;0,4;0,09;7,5;Voie aérienne;Particulier;17/03/2011 00:00;18/03/2011 00:00;-132,93;32;195,57
91026;Peu urgent;1743;P00050;4,98;0,36;0,05;7,44;Voie aérienne;Particulier;30/09/2011 00:00;04/10/2011 00:00;-15,6;1;7,35
90585;Peu urgent;339;P00050;4,98;0,36;0,09;7,44;Voie aérienne;Entreprise;12/12/2011 00:00;12/12/2011 00:00;-24,765;5;26,38
87149;Moyen;2061;P00050;4,98;0,36;0,04;7,44;Voie aérienne;Entreprise;02/03/2011 00:00;03/03/2011 00:00;-150,74;9;47,9
86174;Moyen;970;P00050;4,98;0,36;0,07;7,44;Voie aérienne;Home Office;09/03/2011 00:00;09/03/2011 00:00;64,188;10;48,73
87571;Urgent;2141;P00051;6,68;0,37;0,01;5,66;Voie aérienne;Home Office;25/01/2011 00:00;26/01/2011 00:00;-11,2592;1;12,41
87375;Non précisé;2903;P00115;5,78;0,36;0,08;8,09;Voie aérienne;TPE;14/01/2011 00:00;15/01/2011 00:00;-40,0148;2;13,44
86314;Critique;593;P00115;5,78;0,36;0,09;8,09;Voie aérienne;Particulier;15/04/2011 00:00;16/04/2011 00:00;-120,99;6;34,76
88559;Peu urgent;2069;P00116;4,98;0,38;0,04;7,28;Voie aérienne Express;Entreprise;04/05/2011 00:00;08/05/2011 00:00;-10,164;15;82,93
27047;Urgent;2571;P00117;4,28;0,4;0,05;6,72;Voie aérienne;Particulier;22/11/2011 00:00;23/11/2011 00:00;-161,57;129;568,31
90329;Urgent;2572;P00117;4,28;0,4;0,05;6,72;Voie aérienne;Particulier;22/11/2011 00:00;23/11/2011 00:00;32,314;32;140,98
86818;Urgent;1525;P00117;4,28;0,4;0,05;6,72;Voie aérienne;TPE;26/12/2011 00:00;27/12/2011 00:00;-4,7334;7;31,88
90692;Non précisé;3183;P00117;4,28;0,4;0,08;6,72;Voie aérienne;Home Office;07/03/2011 00:00;08/03/2011 00:00;-69,34;4;18,53
86215;Critique;1628;P00117;4,28;0,4;0;6,72;Voie aérienne;Home Office;08/03/2011 00:00;08/03/2011 00:00;-167,92;10;44,48
85900;Non précisé;1919;P00117;4,28;0,4;0,09;6,72;Voie aérienne;Home Office;26/04/2011 00:00;28/04/2011 00:00;0,702;3;13,72
86235;Moyen;3275;P00117;4,28;0,4;0,04;6,72;Voie aérienne;Home Office;07/05/2011 00:00;10/05/2011 00:00;-14,81;1;6,35
89946;Moyen;1776;P00052;5,28;0,4;0,06;6,26;Voie aérienne;Particulier;04/08/2011 00:00;07/08/2011 00:00;-18,1896;4;22,64
89419;Moyen;3073;P00053;22,84;0,39;0,05;5,47;Voie aérienne;Entreprise;01/03/2011 00:00;02/03/2011 00:00;-171,8997;2;45,2
24577;Moyen;3075;P00053;22,84;0,39;0,05;5,47;Voie aérienne;Entreprise;01/03/2011 00:00;02/03/2011 00:00;20,09;8;180,79
85881;Non précisé;1494;P00054;5,98;0,36;0,01;5,15;Voie aérienne;Entreprise;03/12/2011 00:00;04/12/2011 00:00;-13,33;7;44,26
89131;Urgent;3036;P00054;5,98;0,36;0,08;5,15;Voie aérienne;Home Office;21/01/2011 00:00;23/01/2011 00:00;-31,2728;3;18,85
88393;Critique;1016;P00055;6,48;0,36;0,08;6,81;Voie aérienne;Home Office;02/08/2011 00:00;04/08/2011 00:00;71,274;4;27,11
86281;Critique;767;P00055;6,48;0,36;0,02;6,81;Voie aérienne;Entreprise;07/12/2011 00:00;09/12/2011 00:00;-25,41;7;47,43
91443;Non précisé;2624;P00055;6,48;0,36;0,01;6,81;Voie aérienne;Entreprise;27/03/2011 00:00;28/03/2011 00:00;-150,5042;7;47,9
91448;Moyen;2563;P00056;35,44;0,38;0,02;5,09;Voie aérienne;Home Office;26/08/2011 00:00;28/08/2011 00:00;286,3086;11;414,94
46375;Moyen;2565;P00056;35,44;0,38;0,02;5,09;Voie aérienne;Home Office;26/08/2011 00:00;28/08/2011 00:00;389,07;43;1622,03
89593;Critique;1216;P00056;35,44;0,38;0,08;5,09;Voie aérienne;TPE;20/04/2011 00:00;20/04/2011 00:00;137,2893;6;198,97
89790;Peu urgent;3048;P00057;12,28;0,38;0,08;4,86;Voie aérienne;Entreprise;04/03/2011 00:00;11/03/2011 00:00;31,54;5;61,66
91529;Urgent;2475;P00118;55,98;0,36;0,07;5,15;Voie aérienne;TPE;30/08/2011 00:00;31/08/2011 00:00;86,796;15;843,39
90342;Moyen;386;P00118;55,98;0,36;0,03;5,15;Voie aérienne;Entreprise;07/12/2011 00:00;09/12/2011 00:00;674,4129;18;977,41
19205;Moyen;2548;P00119;26,38;0,39;0,04;5,86;Voie aérienne;TPE;26/07/2011 00:00;27/07/2011 00:00;479,62;56;1538,63
88660;Moyen;2550;P00119;26,38;0,39;0,04;5,86;Voie aérienne;TPE;26/07/2011 00:00;27/07/2011 00:00;265,4154;14;384,66
90284;Peu urgent;1831;P00058;19,98;0,38;0,02;5,97;Voie aérienne;Entreprise;26/11/2011 00:00;28/11/2011 00:00;242,968;20;396,58
89764;Critique;287;P00060;47,9;0,37;0,08;5,86;Voie aérienne;TPE;22/01/2011 00:00;24/01/2011 00:00;154,6152;5;224,08
89946;Moyen;1776;P00061;18,97;0,37;0,08;9,54;Voie aérienne;Particulier;04/08/2011 00:00;06/08/2011 00:00;38,8796;20;360,36
86370;Urgent;3141;P00061;18,97;0,37;0,01;9,54;Voie aérienne;Particulier;22/01/2011 00:00;23/01/2011 00:00;22,3592;6;116,19
86680;Moyen;2230;P00061;18,97;0,37;0,09;9,54;Voie aérienne;Particulier;02/03/2011 00:00;03/03/2011 00:00;-24,74;1;20,96
88524;Moyen;3;P00062;55,48;0,37;0,09;14,3;Voie aérienne Express;Entreprise;09/11/2011 00:00;11/11/2011 00:00;1388,0523;37;2011,67
89395;Peu urgent;2718;P00062;55,48;0,37;0;14,3;Voie aérienne;Particulier;16/02/2011 00:00;18/02/2011 00:00;117,1206;3;169,74
86299;Peu urgent;262;P00120;54,96;0,36;0,04;10,75;Voie aérienne;Home Office;12/04/2011 00:00;21/04/2011 00:00;75,9138;2;110,02
90112;Moyen;2273;P00120;54,96;0,36;0,1;10,75;Voie aérienne;Entreprise;20/04/2011 00:00;22/04/2011 00:00;403,5672;11;584,88
91474;Moyen;3371;P00120;54,96;0,36;0,1;10,75;Voie aérienne;Home Office;12/05/2011 00:00;14/05/2011 00:00;328,2744;9;475,76
86401;Non précisé;1463;P00063;104,85;0,37;0,09;4,65;Voie aérienne;Particulier;03/12/2011 00:00;05/12/2011 00:00;724,1895;11;1049,55
14023;Non précisé;1129;P00121;9,99;0,4;0,03;5,12;Voie aérienne;Entreprise;20/02/2011 00:00;21/02/2011 00:00;40,61;48;498,16
88107;Non précisé;1131;P00121;9,99;0,4;0,03;5,12;Voie aérienne;Entreprise;20/02/2011 00:00;21/02/2011 00:00;40,61;12;124,54
88732;Critique;1391;P00122;4,98;0,36;0,06;4,72;Voie aérienne Express;Entreprise;25/06/2011 00:00;26/06/2011 00:00;-33,28;12;66,29
85918;Critique;2631;P00122;4,98;0,36;0,07;4,72;Voie aérienne;Entreprise;20/02/2011 00:00;22/02/2011 00:00;-43,18;6;30,41
10247;Moyen;1129;P00067;4,98;0,38;0,06;5,49;Voie aérienne;Home Office;10/01/2011 00:00;11/01/2011 00:00;-85,328;21;111,66
88106;Moyen;1130;P00067;4,98;0,38;0,06;5,49;Voie aérienne;Home Office;10/01/2011 00:00;11/01/2011 00:00;-66,1292;5;26,59
87750;Peu urgent;1712;P00067;4,98;0,38;0,01;5,49;Voie aérienne Express;Entreprise;20/01/2011 00:00;25/01/2011 00:00;102,5406;1;10,12
90692;Non précisé;3183;P00123;4,28;0,4;0,09;5,74;Voie aérienne;Home Office;07/03/2011 00:00;09/03/2011 00:00;-148,87;11;47,67
88253;Moyen;3116;P00124;6,68;0,37;0,02;7,3;Voie aérienne;Home Office;08/01/2011 00:00;10/01/2011 00:00;-47,726;11;75,36
87021;Peu urgent;602;P00124;6,68;0,37;0,08;7,3;Voie aérienne;TPE;11/02/2011 00:00;15/02/2011 00:00;-118,9;9;61,56
88024;Critique;472;P00069;5,78;0,36;0;7,96;Voie aérienne;Particulier;18/07/2011 00:00;18/07/2011 00:00;-165,26;12;73,2
86121;Peu urgent;2614;P00069;5,78;0,36;0;7,96;Voie aérienne;Entreprise;20/10/2011 00:00;25/10/2011 00:00;-201,2148;21;131,08
88696;Peu urgent;2243;P00070;4,98;0,38;0,06;7,54;Voie aérienne;Entreprise;30/10/2011 00:00;01/11/2011 00:00;-43,6644;4;22,5
88891;Critique;680;P00070;4,98;0,38;0,05;7,54;Voie aérienne;Entreprise;07/02/2011 00:00;08/02/2011 00:00;-98,17;5;26,16
86109;Peu urgent;3045;P00071;4,28;0,4;0,06;4,79;Voie aérienne;Entreprise;06/10/2011 00:00;08/10/2011 00:00;-101,9088;19;84,72
89302;Peu urgent;2444;P00072;22,84;0,39;0,04;11,54;Voie aérienne;Particulier;25/02/2011 00:00;27/02/2011 00:00;-6,04;5;112,67
86848;Peu urgent;1852;P00125;6,48;0,36;0;6,65;Voie aérienne;Entreprise;10/04/2011 00:00;12/04/2011 00:00;-84,33;8;54,02
88523;Non précisé;3;P00126;6,68;0,37;0,03;6,15;Voie aérienne Express;Entreprise;27/07/2011 00:00;28/07/2011 00:00;-47,64;7;49,92
90571;Peu urgent;1998;P00126;6,68;0,37;0,08;6,15;Voie aérienne;Entreprise;01/11/2011 00:00;03/11/2011 00:00;21,242;35;222,5
43745;Peu urgent;1999;P00126;6,68;0,37;0,08;6,15;Voie aérienne;Entreprise;01/11/2011 00:00;03/11/2011 00:00;-106,21;139;883,63
88785;Peu urgent;1707;P00073;30,98;0,4;0,05;17,08;Voie aérienne;TPE;03/03/2011 00:00;07/03/2011 00:00;22,21;7;226,62
55269;Moyen;21;P00073;30,98;0,4;0;17,08;Voie aérienne;TPE;07/03/2011 00:00;08/03/2011 00:00;-41,82;1;49,61
86004;Non précisé;2139;P00073;30,98;0,4;0,1;17,08;Voie aérienne;Entreprise;18/04/2011 00:00;18/04/2011 00:00;-41,26;3;94,63
87702;Peu urgent;418;P00073;30,98;0,4;0;17,08;Voie aérienne;TPE;13/05/2011 00:00;17/05/2011 00:00;65,01;15;489,69
91111;Urgent;2430;P00074;4,28;0,4;0,08;5,17;Voie aérienne;Home Office;30/07/2011 00:00;31/07/2011 00:00;-8,88;1;6,72
88116;Peu urgent;2728;P00127;6,68;0,37;0,08;5,2;Voie aérienne;Particulier;07/08/2011 00:00;07/08/2011 00:00;-12,2304;5;34,13
90726;Moyen;2761;P00078;5,78;0,36;0,07;5,67;Voie aérienne;Entreprise;31/01/2011 00:00;01/02/2011 00:00;-26,9948;2;12,59
88703;Critique;2714;P00079;30,98;0,4;0,1;8,74;Voie aérienne;Entreprise;22/10/2011 00:00;23/10/2011 00:00;39,1;5;153,14
87655;Urgent;23;P00079;30,98;0,4;0;8,74;Voie aérienne;Entreprise;11/11/2011 00:00;12/11/2011 00:00;859,2639;37;1245,31
90323;Non précisé;2451;P00079;30,98;0,4;0,02;8,74;Voie aérienne Express;Home Office;07/03/2011 00:00;08/03/2011 00:00;13,87;2;67,54
86423;Peu urgent;1074;P00128;4,98;0,38;0,07;8,33;Voie aérienne;Home Office;26/02/2011 00:00;26/02/2011 00:00;-226,36;11;57,1
89420;Moyen;3074;P00129;4,28;0,4;0,05;6,18;Voie aérienne Express;Entreprise;25/06/2011 00:00;27/06/2011 00:00;-11,592;3;18,43
86516;Moyen;2472;P00129;4,28;0,4;0,01;6,18;Voie aérienne;Home Office;23/11/2011 00:00;24/11/2011 00:00;33,37;38;166,23
90696;Urgent;441;P00130;5,28;0,4;0,1;5,57;Voie aérienne;TPE;10/06/2011 00:00;12/06/2011 00:00;-81,344;12;59,05
89222;Urgent;2455;P00130;5,28;0,4;0,01;5,57;Voie aérienne Express;Entreprise;15/08/2011 00:00;16/08/2011 00:00;69,144;18;106,65
1222;Moyen;2491;P00130;5,28;0,4;0,08;5,57;Voie aérienne;Home Office;04/02/2011 00:00;04/02/2011 00:00;-121,91;48;257,39
86888;Moyen;2495;P00130;5,28;0,4;0,08;5,57;Voie aérienne;Home Office;04/02/2011 00:00;04/02/2011 00:00;-121,91;12;64,35
16741;Moyen;2498;P00080;22,84;0,39;0,01;16,87;Voie aérienne;TPE;30/09/2011 00:00;01/10/2011 00:00;-42,38;11;289,61
88321;Moyen;2499;P00080;22,84;0,39;0,01;16,87;Voie aérienne;TPE;30/09/2011 00:00;01/10/2011 00:00;-42,38;3;78,99
88891;Critique;680;P00080;22,84;0,39;0,09;16,87;Voie aérienne;Entreprise;07/02/2011 00:00;07/02/2011 00:00;-182,8;9;198,64
91001;Non précisé;2481;P00081;5,98;0,36;0,1;5,46;Voie aérienne;Entreprise;29/10/2011 00:00;30/10/2011 00:00;80,838;20;113,3
86095;Critique;2077;P00082;6,48;0,36;0;8,74;Voie aérienne;Home Office;28/12/2011 00:00;30/12/2011 00:00;-45,57;10;73,5
85917;Non précisé;2629;P00082;6,48;0,36;0,06;8,74;Voie aérienne;TPE;16/01/2011 00:00;17/01/2011 00:00;-29,946;1;8,28
86034;Urgent;2641;P00082;6,48;0,36;0,06;8,74;Voie aérienne;Home Office;16/04/2011 00:00;16/04/2011 00:00;-297,2662;5;35,08
88214;Peu urgent;1376;P00083;6,48;0,37;0,1;5,16;Voie aérienne;Home Office;06/05/2011 00:00;13/05/2011 00:00;-42,81;8;49,09
89698;Moyen;1850;P00085;4,98;0,38;0,07;5,02;Voie aérienne;Particulier;19/04/2011 00:00;20/04/2011 00:00;-112,574;5;24,64
86078;Urgent;1239;P00086;4,28;0,4;0,08;5,68;Voie aérienne;Entreprise;25/05/2011 00:00;28/05/2011 00:00;-100,61;11;47,56
87128;Urgent;2025;P00087;22,84;0,39;0,06;8,18;Voie aérienne;TPE;23/07/2011 00:00;23/07/2011 00:00;-21,13;1;25,27
89837;Non précisé;3265;P00087;22,84;0,39;0,02;8,18;Voie aérienne;Entreprise;25/05/2011 00:00;27/05/2011 00:00;89,6;9;204,52
89236;Non précisé;204;P00131;5,98;0,36;0,06;5,2;Voie aérienne;Entreprise;16/05/2011 00:00;17/05/2011 00:00;-66,16;14;82,97
86434;Moyen;3119;P00088;6,48;0,36;0,03;9,68;Voie aérienne;Entreprise;29/12/2011 00:00;30/12/2011 00:00;-29,9299;12;80,83
89830;Moyen;310;P00088;6,48;0,36;0,02;9,68;Voie aérienne;Particulier;11/05/2011 00:00;12/05/2011 00:00;-238,45;16;110,21
91080;Peu urgent;1689;P00089;6,48;0,37;0,04;5,74;Voie aérienne;Entreprise;09/07/2011 00:00;13/07/2011 00:00;-66,05;10;65,76
85851;Moyen;3146;P00089;6,48;0,37;0,08;5,74;Voie aérienne;Entreprise;21/12/2011 00:00;22/12/2011 00:00;-16,35;7;47,75
88528;Moyen;228;P00089;6,48;0,37;0,03;5,74;Voie aérienne;TPE;14/01/2011 00:00;17/01/2011 00:00;-22,554;8;52,73
89962;Urgent;164;P00091;6,48;0,37;0,05;9,17;Voie aérienne;Home Office;02/10/2011 00:00;04/10/2011 00:00;-275,0544;22;143,7
42528;Moyen;102;P00091;6,48;0,37;0,02;9,17;Voie aérienne;Particulier;23/02/2011 00:00;24/02/2011 00:00;-147,72;29;200,7
88206;Moyen;110;P00091;6,48;0,37;0,02;9,17;Voie aérienne;Particulier;23/02/2011 00:00;24/02/2011 00:00;-147,72;7;48,44
88582;Critique;1927;P00092;6,48;0,37;0,07;10,05;Voie aérienne;Home Office;04/05/2011 00:00;04/05/2011 00:00;8,994;12;76,08
87009;Urgent;1304;P00132;6,48;0,37;0,08;5,82;Voie aérienne;Entreprise;19/12/2011 00:00;20/12/2011 00:00;-27,455;11;70,33
89156;Non précisé;2228;P00093;6,48;0,37;0,02;6,57;Voie aérienne;Entreprise;03/07/2011 00:00;04/07/2011 00:00;-103,28;12;81,18
85982;Urgent;3338;P00094;6,48;0,37;0,02;6,35;Voie aérienne;Particulier;03/01/2011 00:00;05/01/2011 00:00;-1,722;11;73,57
89124;Critique;1208;P00094;6,48;0,37;0,06;6,35;Voie aérienne;Home Office;07/04/2011 00:00;08/04/2011 00:00;-27,78;2;14,2
90664;Moyen;1299;P00094;6,48;0,37;0,1;6,35;Voie aérienne;Home Office;15/05/2011 00:00;15/05/2011 00:00;-143,65;17;101,44
89859;Critique;1781;P00096;6,48;0,37;0,08;5,4;Voie aérienne;Entreprise;29/09/2011 00:00;01/10/2011 00:00;-90,42;23;143,71
10373;Critique;2882;P00097;6,48;0,37;0,03;6,6;Voie aérienne;Particulier;25/06/2011 00:00;27/06/2011 00:00;-95,4009;42;289,74
87636;Critique;2884;P00097;6,48;0,37;0,03;6,6;Voie aérienne;Particulier;25/06/2011 00:00;27/06/2011 00:00;-57,384;11;75,88
90045;Critique;1006;P00097;6,48;0,37;0,01;6,6;Voie aérienne;TPE;26/01/2011 00:00;27/01/2011 00:00;-58,1436;5;36,06
87973;Moyen;3299;P00097;6,48;0,37;0,01;6,6;Voie aérienne Express;Particulier;11/04/2011 00:00;12/04/2011 00:00;-413,5978;3;22,71
50246;Moyen;894;P00098;6,48;0,37;0,05;7,37;Voie aérienne Express;Entreprise;18/08/2011 00:00;19/08/2011 00:00;-47,67;25;182,21
88350;Urgent;2089;P00098;6,48;0,37;0,02;7,37;Voie aérienne;Entreprise;27/11/2011 00:00;29/11/2011 00:00;7,04;8;58,37
56001;Peu urgent;94;P00098;6,48;0,37;0,08;7,37;Voie aérienne Express;Home Office;12/04/2011 00:00;16/04/2011 00:00;-60,65;17;118,36
88259;Critique;1789;P00099;6,48;0,37;0,08;8,4;Voie aérienne;Particulier;17/08/2011 00:00;18/08/2011 00:00;-110,5052;19;116,98
91551;Urgent;1971;P00099;6,48;0,37;0,09;8,4;Voie aérienne;Entreprise;24/11/2011 00:00;26/11/2011 00:00;729,168;21;135,84
90082;Non précisé;2130;P00099;6,48;0,37;0,06;8,4;Voie aérienne;Home Office;14/12/2011 00:00;16/12/2011 00:00;-102,69;21;136,95
